2022-05-06T12:54:45,737+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"Default Login" | Logged in successful
2022-05-06T13:05:57,602+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:20:33,460+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed retained message snapshot
2022-05-06T13:22:19,906+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test1" with startTime:"2022-05-06T10:21:20+03:00", endTime:"2022-05-06T11:21:20+03:00", clientIdFilters:["client1"], topicFilters:["test1"],  packets:["a"]
2022-05-06T13:22:36,680+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Downloaded trace recording "Test1"
2022-05-06T13:25:36,681+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test1"
2022-05-06T13:27:46,968+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test2" with startTime:"2022-05-06T10:26:30+03:00", endTime:"2022-05-06T11:26:30+03:00", clientIdFilters:["admin","client1"], topicFilters:[],  packets:["d"]
2022-05-06T13:28:54,381+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Downloaded trace recording "Test2"
2022-05-06T13:30:55,243+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed shared subscription snapshot
2022-05-06T13:31:05,396+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:31:07,258+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:31:13,497+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:31:14,988+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:31:22,767+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed clients snapshot
2022-05-06T13:35:55,488+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test3" with startTime:"2022-05-06T10:34:48+03:00", endTime:"2022-05-06T11:34:48+03:00", clientIdFilters:["Magnetometer_M"], topicFilters:[],  packets:["d"]
2022-05-06T13:36:24,542+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Downloaded trace recording "Test3"
2022-05-06T13:44:36,128+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed retained message snapshot
2022-05-06T13:46:55,521+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test4" with startTime:"2022-05-06T10:45:46+03:00", endTime:"2022-05-06T11:45:46+03:00", clientIdFilters:["CLID:1651832286529","1651832286529","10.150.2.111"], topicFilters:[],  packets:["d","a","a","e"]
2022-05-06T13:52:35,445+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test5" with startTime:"2022-05-06T10:51:34+03:00", endTime:"2022-05-06T11:51:34+03:00", clientIdFilters:["CLID:1651832286529"], topicFilters:[],  packets:["c","c","c","c"]
2022-05-06T13:53:20,585+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Refreshed retained message snapshot
2022-05-06T13:54:20,388+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test5"
2022-05-06T13:54:29,142+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test4"
2022-05-06T13:54:32,988+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test3"
2022-05-06T13:54:35,789+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test2"
2022-05-06T13:55:26,923+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test6" with startTime:"2022-05-06T10:54:37+03:00", endTime:"2022-05-06T11:54:37+03:00", clientIdFilters:["CLID:1651832286529"], topicFilters:["token"],  packets:["a"]
2022-05-06T13:55:55,634+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Stopped trace recording "Test6"
2022-05-06T14:09:32,009+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created trace recording "Test7" with startTime:"2022-05-06T10:56:46+03:00", endTime:"2022-05-06T11:56:46+03:00", clientIdFilters:["CLID:1651832286529"], topicFilters:[],  packets:["e"]
2022-05-06T14:19:00,068+03:00 | user:"admin" | IP:"127.0.0.1" | node:"hiqAD" | source:"" | Created new backup
