2022-06-14T19:08:18,764+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"Default Login" | Logged in successful
2022-06-14T19:58:56,224+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:11:09,881+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:11:59,903+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:14,548+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:15,966+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:16,538+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:16,960+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:17,406+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:17,771+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:19,324+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:19,784+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:20,917+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:23,536+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:12:43,016+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:21:45,315+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:22:18,452+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:24:06,480+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:24:51,761+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
2022-06-14T20:25:14,707+03:00 | user:"admin" | IP:"127.0.0.1" | node:"T8xUU" | source:"" | Refreshed clients snapshot
